ID,NDC Code,Brand Name,Generic Name,Manufacturer,Product Type,Dosage Form,Route
1,"15631-0404","SILICEA","SILICEA","Rxhomeo Private Limited d.b.a. Rxhomeo, Inc","HUMAN OTC DRUG","","ORAL"
2,"","","","","","",""
3,"67618-192","Betadine","POVIDONE-IODINE","Atlantis Consumer Healthcare, Inc.","HUMAN OTC DRUG","","TOPICAL"
4,"50090-0481","Naproxen","NAPROXEN","A-S Medication Solutions","HUMAN PRESCRIPTION DRUG","","ORAL"
5,"79903-165","Moisturizing Antibacterial","BENZALKONIUM CHLORIDE","Walmart Inc.","HUMAN OTC DRUG","","TOPICAL"
6,"49035-934","Quick Action","SALICYLIC ACID","Walmart Inc.","HUMAN OTC DRUG","","TOPICAL"
7,"0078-1105; 0078-1112; 0078-1161","Mekinist","TRAMETINIB","Novartis Pharmaceuticals Corporation","HUMAN PRESCRIPTION DRUG","","ORAL"
8,"68084-326; 68084-788; 68084-327","Glimepiride","GLIMEPIRIDE","American Health Packaging","HUMAN PRESCRIPTION DRUG","","ORAL"
9,"63187-130","Methocarbamol","METHOCARBAMOL","Proficient Rx LP","HUMAN PRESCRIPTION DRUG","","ORAL"
10,"79481-0319","anti itch","HYDROCORTISONE","Meijer, Inc.","HUMAN OTC DRUG","","TOPICAL"
11,"59651-417; 59651-418; 59651-451","Varenicline","VARENICLINE","Aurobindo Pharma Limited","HUMAN PRESCRIPTION DRUG","","ORAL"
12,"57687-242","Rescue Sleep","HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER","Nelson Bach USA, Ltd.","HUMAN OTC DRUG","","ORAL"
13,"63941-519","Pain Reliever Extra Strength","ACETAMINOPHEN","Valu Merchandisers Company","HUMAN OTC DRUG","","ORAL"
14,"42126-6310","OASIS Tears Lubricant Eye","GLYCERIN","OASIS Medical, Inc.","HUMAN OTC DRUG","","OPHTHALMIC"
15,"80684-142","Thera Plus Maximum Strength Feminine Anti-Itch","BENZOCAINE, RESORCINOL","FOURSTAR GROUP USA, INC.","HUMAN OTC DRUG","","TOPICAL"
16,"72865-350","tamsulosin hydrochloride","TAMSULOSIN HYDROCHLORIDE","XLCare Pharmaceuticals, Inc.","HUMAN PRESCRIPTION DRUG","","ORAL"
17,"81277-011","Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented","ALUMINUM CHLOROHYDRATE","Sodalis USA, LLC","HUMAN OTC DRUG","","TOPICAL"
18,"51672-1310","Betamethasone Dipropionate","BETAMETHASONE DIPROPIONATE","Sun Pharmaceutical Industries, Inc.","HUMAN PRESCRIPTION DRUG","","TOPICAL"
19,"61333-205","Lights Povindone Iodine Scrub","POVIDONE-IODINE","Lights Medical Manufacture Co., Ltd.","HUMAN OTC DRUG","","TOPICAL"
20,"69097-862","Calcium Acetate","CALCIUM ACETATE","Cipla USA Inc.,","HUMAN PRESCRIPTION DRUG","","ORAL"
21,"0078-0659; 0078-0777; 0078-9659; 0078-9777; 0078-0696; 0078-1231; 0078-1238","ENTRESTO","SACUBITRIL AND VALSARTAN","Novartis Pharmaceuticals Corporation","HUMAN PRESCRIPTION DRUG","","ORAL"
22,"68605-3700","VERADEX-E","PETROLATUM AND LANOLIN","ABBE Laboratories, Inc.","HUMAN OTC DRUG","","TOPICAL"
23,"50090-3963","Etodolac","ETODOLAC","A-S Medication Solutions","HUMAN PRESCRIPTION DRUG","","ORAL"
24,"72288-300","basic care acetaminophen","ACETAMINOPHEN","Amazon.com Services LLC","HUMAN OTC DRUG","","ORAL"
25,"41250-004","Anticavity Rinse","SODIUM FLUORIDE","Meijer, Inc.","HUMAN OTC DRUG","","ORAL"
26,"63187-859","Sertraline Hydrochloride","SERTRALINE HYDROCHLORIDE","Proficient Rx LP","HUMAN PRESCRIPTION DRUG","","ORAL"
27,"71020-016","Antibacterial 2X","BENZALKONIUM CHLORIDE","Sante Manufacturing Inc","HUMAN OTC DRUG","","TOPICAL"
28,"69842-679","Acid Reducer","ESOMEPRAZOLE MAGNESIUM","CVS Pharmacy","HUMAN OTC DRUG","","ORAL"
29,"61957-3141","FOREVER SKIN GLOW 24h wear radiant foundation Perfection and hydration Concentrated floral skincare with suncreen Broad spectrum SPF 15 00","OCTISALATE, TITANIUM DIOXIDE","Parfums Christian Dior","HUMAN OTC DRUG","","TOPICAL"
30,"70677-1157","Foster and Thrive Dry Eye Relief","POLYETHYLENE GLYCOL 400","Strategic Sourcing Services LLC","HUMAN OTC DRUG","","OPHTHALMIC"
31,"70677-1158","Foster and Thrive Advanced Relief Eye Drops","POLYETHYLENE GLYCOL 400, TETRAHYDROZOLINE HCL","Strategic Sourcing Services LLC","HUMAN OTC DRUG","","OPHTHALMIC"
32,"67860-845","Isopropyl Alcohol","ISOPROPYL ALCOHOL","Cariba International","HUMAN OTC DRUG","","TOPICAL"
33,"68084-288","Fludrocortisone Acetate","FLUDROCORTISONE ACETATE","American Health Packaging","HUMAN PRESCRIPTION DRUG","","ORAL"
34,"70069-471","LACOSAMIDE","LACOSAMIDE","Somerset Therapeutics, LLC","HUMAN PRESCRIPTION DRUG","","INTRAVENOUS"
35,"49967-138","CeraVe Developed with Dermatologists Acne Control Cleanser","SALICYLIC ACID","L'Oreal USA Products Inc","HUMAN OTC DRUG","","TOPICAL"
36,"69197-394","Naproxen Sodium 220mg","NAPROXEN SODIUM 220MG","Command Brands, LLC","HUMAN OTC DRUG","","ORAL"
37,"63830-876","Suds High Foaming Antiseptic Hand and Body Wash","CHLOROXYLENOL","Pro chem, Inc.","HUMAN OTC DRUG","","TOPICAL"
38,"70000-0688","Leader Earwax Removal Drops Earwax Removal Aid","CARBAMIDE PEROXIDE","Cardinal Health, Inc.","HUMAN OTC DRUG","","TOPICAL"
39,"0406-1219; 0406-1220","Amphetamine Sulfate","AMPHETAMINE SULFATE","SpecGx LLC","HUMAN PRESCRIPTION DRUG","","ORAL"
40,"64942-2138","Dove","EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER DRY SPRAY 72H ANTIPERSPIRANT DEODORANT","Conopco, Inc. d/b/a Unilever","HUMAN OTC DRUG","","TOPICAL"
41,"64942-2139","Dove","EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK DRY SPRAY 72H ANTIPERSPIRANT DEODORANT","Conopco, Inc. d/b/a Unilever","HUMAN OTC DRUG","","TOPICAL"
42,"64942-2140","Dove","EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA DRY SPRAY 72H ANTIPERSPIRANT DEODORANT","Conopco, Inc. d/b/a Unilever","HUMAN OTC DRUG","","TOPICAL"
43,"68466-1002","Sports For Trauma Gel","BELLIS PERENNIS, HYPERICUM PERFOMATUM,TOXICODENDRON PUBSCENS LEAF, RUTA GRAVEOLENS FLOWERING TOP","Schwabe Mexico, S.A. de C.V.","HUMAN OTC DRUG","","TOPICAL"
44,"63629-2029","Phenazopyridine Hydrochloride","PHENAZOPYRIDINE","Bryant Ranch Prepack","HUMAN PRESCRIPTION DRUG","","ORAL"
45,"69423-719","Olay Regenerist Regenerating with Sunscreen Broad Spectrum SPF 15","AVOBENZONE, HOMOSALATE, OCTISALATE, AND OCTOCRYLENE","The Procter & Gamble Manufacturing Company","HUMAN OTC DRUG","","TOPICAL"
46,"63517-803","Roll On Anti-Perspirant (Alcohol Free)","ALUMINUM CHLOROHYDRATE","Cardinal Health","HUMAN OTC DRUG","","TOPICAL"
47,"62839-6201","Nu Skin Sunright Lip Balm Broad Spectrum SPF 15","OCTINOXATE, AVOBENZONE, AND OCTOCRYLENE","NSE Products, Inc","HUMAN OTC DRUG","","TOPICAL"
48,"61649-260","Attitude Diaper Cream Zinc Unscented","ZINC OXIDE","9055-7588 Quebec Inc. (Attitude)","HUMAN OTC DRUG","","TOPICAL"
49,"72789-331","Famotidine","FAMOTIDINE","PD-Rx Pharmaceuticals, Inc.","HUMAN PRESCRIPTION DRUG","","ORAL"
50,"79903-192","Equate Honey Lemon Cough Drops","MENTHOL","WalMart","HUMAN OTC DRUG","","ORAL"
51,"87053-003","Prime Tooth Care Hami Melon","SODIUM FLUORIDE","Prime Tooth Care LLC","HUMAN OTC DRUG","","DENTAL"
52,"83552-101","Dragon Pain Relieving Balm","CAMPHOR, MENTHOL","Americanna Wellness, Inc.","HUMAN OTC DRUG","","TOPICAL"
53,"15751-3506","Eminence Radiant Protection SPF Fluid","ZINC OXIDE","Eminence Organic Skin Care","HUMAN OTC DRUG","","TOPICAL"
54,"37662-3560; 37662-3561; 37662-3566; 37662-3563; 37662-3564; 37662-3567; 37662-3562; 37662-3565","Aluminium Fluoratum","ALUMINIUM FLUORATUM","Hahnemann Laboratories, INC.","HUMAN OTC DRUG","","ORAL"
55,"70677-1159","Foster and Thrive Original Formula Eye Drops","TETRAHYDROZOLINE HCL","Strategic Sourcing Services LLC","HUMAN OTC DRUG","","OPHTHALMIC"
56,"0527-3161; 0527-3162; 0527-3163; 0527-3164","Olanzapine","OLANZAPINE","Lannett Company, Inc.","HUMAN PRESCRIPTION DRUG","","ORAL"
57,"55513-180","BKEMV","ECULIZUMAB-AEEB","Amgen Inc","HUMAN PRESCRIPTION DRUG","","INTRAVENOUS"
58,"82083-0022","PETITCOCHON TONE UP BODY SUN","ADENOSINE, NIACINAMIDE","LAON COMMERCE co ltd","HUMAN OTC DRUG","","TOPICAL"
59,"37662-3568; 37662-3570; 37662-3575; 37662-3569; 37662-3571; 37662-3572; 37662-3573; 37662-3574","Aluminium Nitricum","ALUMINIUM NITRICUM","Hahnemann Laboratories, INC.","HUMAN OTC DRUG","","ORAL"
60,"66658-204","ORFADIN","NITISINONE","Swedish Orphan Biovitrum AB (publ)","HUMAN PRESCRIPTION DRUG","","ORAL"
61,"51393-5006","Calm Mood","GARLIC, AVENA SATIVA FLOWERING TOP, ANGELICA ARCHANGELICA ROOT, ARABICA COFFEE BEAN, HOLY BASIL LEAF, PASSIFLORA EDULIS FLOWER, SCUTELLARIA LATERIFLORA WHOLE, VERBENA HASTATA TOP, AND MACROPIPER METHYSTICUM ROOT","Forces of Nature","HUMAN OTC DRUG","","SUBLINGUAL"
62,"69968-0815","Neutrogena Mineral Invisible Daily Defense Face Sunscreen Broad Spectrum SPF 30","TITANIUM DIOXIDE, ZINC OXIDE","Kenvue Brands LLC","HUMAN OTC DRUG","","TOPICAL"
63,"58657-323","Tri-Vite Drops with Fluoride","ASCORBIC ACID, SODIUM FLUORIDE, VITAMIN A AND VITAMIN D","Method Pharmaceuticals, LLC","HUMAN PRESCRIPTION DRUG","","ORAL"
64,"0615-8185","ondansetron hydrochloride","ONDANSETRON HYDROCHLORIDE","NCS HealthCare of KY, LLC dba Vangard Labs","HUMAN PRESCRIPTION DRUG","","ORAL"
65,"39892-0940","MediChoice Moisturizing Lip Balm SPF15","AVOBENZONE, OCTINOXATE, OCTISALATE, OCTOCRYLENE","O&M HALYARD, INC.","HUMAN OTC DRUG","","TOPICAL"
66,"68788-7598","Azithromycin","AZITHROMYCIN","Preferred Pharmaceuticals Inc.","HUMAN PRESCRIPTION DRUG","","ORAL"
67,"0378-0472; 0378-0473","Divalproex Sodium","DIVALPROEX SODIUM","Mylan Pharmaceuticals Inc.","HUMAN PRESCRIPTION DRUG","","ORAL"
68,"60687-837","Metoclopramide","METOCLOPRAMIDE","American Health Packaging","HUMAN PRESCRIPTION DRUG","","ORAL"
69,"64942-2135","Dove","EVEN TONE PLUS NIACINAMIDE PEACH BLOSSOM AND RICE MILK ANTIPERSPIRANT DEODORANT","Conopco Inc. d/b/a/ Unilever","HUMAN OTC DRUG","","TOPICAL"
70,"64942-2134","Dove","EVEN TONE PLUS NIACINAMIDE APPLE BLOSSOM AND MANGO BUTTER ANTIPERSPIRANT DEODORANT","Conopco Inc. d/b/a/ Unilever","HUMAN OTC DRUG","","TOPICAL"
71,"64942-2137","Dove","EVEN TONE PLUS NIACINAMIDE SHEA BUTTER AND VANILLA ANTIPERSPIRANT DEODORANT","Conopco Inc. d/b/a/ Unilever","HUMAN OTC DRUG","","TOPICAL"
72,"79903-132","Acetaminophen","ACETAMINOPHEN","WALMART INC.","HUMAN OTC DRUG","","ORAL"
73,"64942-2136","Dove","EVEN TONE PLUS NIACINAMIDE ROSEWOOD AND POWDER ANTIPERSPIRANT DEODORANT","Conopco Inc. d/b/a/ Unilever","HUMAN OTC DRUG","","TOPICAL"
74,"63941-505","Childrens Allergy Relief","DIPHENHYDRAMINE HCL","Best Choice","HUMAN OTC DRUG","","ORAL"
75,"49884-484; 49884-485; 49884-486; 49884-487; 49884-880; 49884-882; 49884-881","Lamotrigine","LAMOTRIGINE","Endo USA, Inc.","HUMAN PRESCRIPTION DRUG","","ORAL"
76,"58228-2309","First Aid Burn Cream","FIRST AID BURN CREAM","ProStat First Aid LLC","HUMAN OTC DRUG","","TOPICAL"
77,"59779-612","allergy relief","LORATADINE","CVS Pharmacy","HUMAN OTC DRUG","","ORAL"
78,"25021-253","Cisplatin","CISPLATIN","Sagent Pharmaceuticals","HUMAN PRESCRIPTION DRUG","","INTRAVENOUS"
79,"50390-239","Artistry Youth Xtend Lifting Smoothing Foundation Shade Chiffon L2C1","OCTINOXATE, OXYBENZONE","Amway Corp","HUMAN OTC DRUG","","TOPICAL"
80,"79903-185","Equate SF Menthol Cough Drops","MENTHOL","WalMart","HUMAN OTC DRUG","","ORAL"
81,"70677-1072","MILK OF MAGNESIA","MAGNESIUM HYDROXIDE","Strategic Sourcing Services LLC","HUMAN OTC DRUG","","ORAL"
82,"43598-484; 43598-485","Nicotine Polacrilex","NICOTINE POLACRILEX","Dr. Reddy's Laboratories Inc.","HUMAN OTC DRUG","","ORAL"
83,"69423-721","Head and Shoulders Bare Minimal Ingredients","PYRITHIONE ZINC","The Procter & Gamble Manufacturing Company","HUMAN OTC DRUG","","TOPICAL"
84,"69423-722","Head and Shoulders Bare Minimal Ingredients Soothing Hydration","PYRITHIONE ZINC","The Procter & Gamble Manufacturing Company","HUMAN OTC DRUG","","TOPICAL"
85,"68180-233; 68180-750; 68180-751; 68180-752; 68180-719; 68180-720; 68180-721; 68180-455","Amlodipine Besylate","AMLODIPINE BESYLATE","Lupin Pharmaceuticals, Inc.","HUMAN PRESCRIPTION DRUG","","ORAL"
86,"60232-0007","Private Label Moisturizing Oil Free Paraben Free SPF43","SUNSCREEN","Swiss-American CDMO, LLC","HUMAN OTC DRUG","","TOPICAL"
87,"37662-3576; 37662-3577; 37662-3578; 37662-3579; 37662-3581; 37662-3580; 37662-3582; 37662-3583","Aluminium Phosphoricum","ALUMINIUM PHOSPHORICUM","Hahnemann Laboratories, INC.","HUMAN OTC DRUG","","ORAL"
88,"70771-1041; 70771-1042; 70771-1043; 70771-1044","perphenazine","PERPHENAZINE","Zydus Lifesciences Limited","HUMAN PRESCRIPTION DRUG","","ORAL"
