iter	Accuracy	MultiClass
0	0.7507805309	1.31049993
1	0.7724877658	1.240977174
2	0.7867970437	1.179372797
3	0.7925728814	1.12459123
4	0.7914045911	1.07676965
5	0.7925218485	1.032949626
6	0.7926913508	0.9935080594
7	0.7932563586	0.9586964943
8	0.7940710634	0.9267372245
9	0.7948019283	0.8971359135
10	0.7960813976	0.8708490977
11	0.7958280554	0.8461584062
12	0.7958080067	0.8237995808
13	0.7962618355	0.8035279416
14	0.7966937931	0.7845118664
15	0.7968268433	0.7666704135
16	0.7971767836	0.7495937775
17	0.7971585576	0.7342734471
18	0.7975340144	0.7199909456
19	0.7980971996	0.7064127797
20	0.7991561335	0.6939421509
21	0.799810449	0.6823475868
22	0.7994131209	0.6712627535
23	0.799801336	0.6610302215
24	0.8001184694	0.6511094498
25	0.8007126389	0.6418821206
26	0.8011209026	0.6331547739
27	0.8013122762	0.624883536
28	0.8011646451	0.6172849794
29	0.8014908915	0.6103651091
30	0.8017442337	0.6037811654
31	0.8019392525	0.5971868706
32	0.802265499	0.5911581294
33	0.8026737627	0.5855571076
34	0.8027247956	0.5799491404
35	0.8031913827	0.5748542119
36	0.8035139839	0.5700759097
37	0.8038529886	0.5654103821
38	0.8040334266	0.5611411851
39	0.8038949086	0.5573774668
40	0.8040534753	0.553398791
41	0.8044307546	0.5496040674
42	0.8045619823	0.5461601425
43	0.8046749838	0.5429005943
44	0.8046221283	0.5396933754
45	0.8045783857	0.5366698966
46	0.8047223716	0.5341335061
47	0.8048754705	0.5318902881
48	0.8048608896	0.5295917959
49	0.8051707326	0.5270904329
50	0.8054003809	0.5249672792
51	0.8055042695	0.5226523849
52	0.8056919978	0.5207283588
53	0.8057302726	0.5188605343
54	0.8059125331	0.516811961
55	0.8060164217	0.5151655251
56	0.8059580983	0.5136839011
57	0.8061604075	0.5119352978
58	0.8062205535	0.5105339652
59	0.8063299099	0.5088872336
60	0.8064246854	0.5072322091
61	0.8065923651	0.5062925733
62	0.8066798502	0.5048463913
63	0.807055307	0.5036853536
64	0.8071956476	0.5024539567
65	0.8072320997	0.5012594377
66	0.807193825	0.5000839991
67	0.807193825	0.4989851027
68	0.8072248093	0.4978971676
69	0.8072794875	0.4964781493
70	0.807314117	0.4955235629
71	0.807503668	0.4945947296
72	0.8075237167	0.4938935854
73	0.8075419427	0.4930143725
74	0.8076312504	0.4921746591
75	0.8078481405	0.4912269479
76	0.8079265125	0.4903635857
