iter	Passed	Remaining
0	767	613130
1	1123	448332
2	1440	382564
3	1782	354810
4	2108	335207
5	2466	326389
6	2853	323239
7	3176	314443
8	3497	307434
9	3804	300563
10	4116	295246
11	4484	294459
12	4893	296227
13	5227	293506
14	5528	289349
15	5881	288180
16	6222	286609
17	6563	285137
18	6873	282551
19	7203	280937
20	7575	281011
21	7880	278695
22	8166	275876
23	8427	272504
24	8694	269534
25	8968	266974
26	9233	264358
27	9499	261914
28	9780	260022
29	10097	259178
30	10360	257001
31	10650	255604
32	10935	254167
33	11220	252783
34	11527	251955
35	11812	250694
36	12122	249980
37	12459	249852
38	12816	250093
39	13178	250395
40	13548	250809
41	13914	251122
42	14300	251758
43	14714	252815
44	15087	253142
45	15377	252053
46	15680	251219
47	16033	251187
48	16409	251495
49	16749	251248
50	17066	250644
51	17398	250276
52	17708	249590
53	18032	249108
54	18323	248196
55	18583	246892
56	18879	246101
57	19167	245216
58	19458	244380
59	19775	243898
60	20112	243652
61	20537	244458
62	20976	245392
63	21380	245871
64	21667	245010
65	21946	244071
66	22384	244896
67	22711	244487
68	23066	244368
69	23374	243767
70	23655	242881
71	23942	242081
72	24252	241527
73	24522	240582
74	24987	241541
75	25297	240988
76	25629	240648
77	25949	240202
78	26347	240459
79	26624	239621
80	26991	239590
81	27360	239572
82	27684	239156
83	28000	238668
84	28319	238220
85	28646	237835
86	29018	237814
87	29516	238818
88	29910	238944
89	30326	239244
90	30642	238742
91	30939	238100
92	31238	237479
93	31517	236718
94	31824	236170
95	32275	236689
96	32651	236638
97	33109	237170
98	33424	236673
99	33753	236275
100	34061	235733
101	34510	236163
102	34913	236258
103	35299	236232
104	35709	236360
105	36028	235882
106	36331	235306
107	36706	235194
108	37148	235502
109	37679	236356
110	38064	236274
111	38487	236423
112	38799	235884
113	39113	235368
114	39486	235200
115	39942	235523
116	40332	235445
117	40834	236011
118	41143	235450
119	41552	235465
120	41869	234953
121	42205	234552
122	42557	234240
123	42893	233837
124	43174	233139
125	43578	233112
126	43907	232676
127	44285	232499
128	44663	232321
129	45017	232013
130	45293	231309
131	45707	231307
132	46122	231307
133	46525	231236
134	46934	231196
135	47248	230684
136	47526	229998
137	47804	229323
138	48166	229053
139	48568	228966
140	48851	228321
141	49227	228112
142	49649	228112
143	49786	226803
144	50178	226669
145	50555	226462
146	51083	226921
147	51738	227930
148	52223	228171
149	52623	228035
150	53048	228003
151	53463	227924
152	53875	227825
153	54229	227481
154	54501	226794
155	54883	226572
156	55287	226433
157	55714	226386
158	56134	226302
159	56494	225976
160	56894	225812
161	57298	225655
162	57612	225147
163	58016	224992
164	58395	224732
165	58719	224266
166	59027	223740
167	59370	223347
168	59475	222065
169	59762	221474
170	60157	221281
171	60552	221088
172	60995	221066
173	61341	220689
174	61648	220173
175	61960	219678
176	62368	219522
177	62870	219695
178	63204	219272
179	63618	219130
180	64116	219269
181	64483	218961
182	64846	218633
183	65159	218142
184	65574	217992
185	66001	217874
186	66350	217502
187	66803	217467
188	67112	216961
189	67559	216900
190	68029	216910
191	68409	216631
192	68762	216264
193	69118	215906
194	69437	215432
195	69793	215076
196	70171	214788
197	70449	214194
198	70882	214073
199	71294	213882
200	71772	213889
201	72212	213778
202	72595	213495
203	73015	213319
204	73423	213105
205	73722	212578
206	73997	211982
207	74441	211870
208	74829	211599
209	75216	211321
210	75520	210812
211	75936	210616
212	76452	210694
213	76893	210559
214	77278	210268
215	77661	209972
216	78009	209582
217	78473	209503
218	78947	209444
219	79249	208930
220	79648	208671
221	80138	208648
222	80646	208667
223	81051	208418
224	81456	208167
225	81864	207921
226	82213	207526
227	82594	207210
228	82978	206902
229	83380	206638
230	83750	206294
231	84126	205965
232	84511	205656
233	84902	205362
234	85241	204943
235	85590	204546
236	85934	204140
237	86357	203919
238	86692	203491
239	87071	203167
240	87406	202739
241	87951	202797
242	88319	202444
243	88711	202146
244	89159	201974
245	89564	201701
246	90010	201520
247	90472	201375
248	90871	201084
249	91181	200599
250	91576	200301
251	92018	200102
252	92358	199684
253	92830	199549
254	93253	199306
255	93626	198956
256	94037	198686
257	94420	198356
258	94857	198137
259	95256	197841
260	95667	197565
261	96077	197289
262	96380	196792
263	96815	196564
264	97215	196264
265	97618	195970
266	97927	195487
267	98298	195129
268	98706	194844
269	99132	194593
270	99523	194272
271	99929	193979
272	100360	193736
273	100769	193448
274	101127	193061
275	101479	192664
276	101883	192365
277	102244	191983
278	102678	191740
279	103151	191567
280	103547	191249
281	103995	191026
282	104379	190686
283	104730	190285
284	105212	190119
285	105613	189808
286	106053	189566
287	106593	189499
288	107050	189282
289	107552	189144
290	107996	188901
291	108404	188594
292	108815	188291
293	109235	188004
294	109640	187689
295	109990	187280
296	110370	186923
297	110780	186617
298	111229	186374
299	111599	185999
300	112000	185675
301	112414	185371
302	112826	185065
303	113169	184645
304	113577	184330
305	113949	183957
306	114319	183582
307	114715	183246
308	115121	182927
309	115475	182525
310	115890	182219
311	116272	181861
312	116599	181418
313	116896	180928
314	117306	180615
315	117698	180272
316	118030	179838
317	118452	179541
318	118881	179253
319	119308	178962
320	119708	178630
321	120141	178346
322	120519	177980
323	120913	177638
324	121322	177317
325	121719	176978
326	122071	176574
327	122537	176335
328	122975	176053
329	123360	175695
330	123707	175283
331	124104	174942
332	124460	174544
333	124886	174242
334	125244	173846
335	125642	173506
336	126009	173122
337	126431	172815
338	126812	172450
339	127176	172062
340	127577	171724
341	127971	171377
342	128369	171034
343	128729	170641
344	129158	170339
345	129524	169953
346	129833	169494
347	130190	169097
348	130569	168730
349	130970	168390
350	131315	167979
351	131762	167697
352	132174	167370
353	132549	166997
354	132950	166656
355	133269	166212
356	133684	165888
357	134150	165627
358	134574	165313
359	135050	165061
360	135441	164706
361	135760	164262
362	136160	163917
363	136550	163560
364	136948	163212
365	137299	162809
366	137699	162463
367	138118	162138
368	138684	161986
369	139070	161622
370	139475	161280
371	139856	160909
372	140290	160600
373	140724	160289
374	141136	159954
375	141495	159558
376	141910	159225
377	142339	158908
378	142677	158488
379	143325	158412
380	144041	158407
381	144668	158301
382	145355	158259
383	146194	158377
384	147130	158595
385	147890	158618
386	148507	158484
387	149166	158393
388	149744	158213
389	150362	158073
390	150828	157772
391	151384	157563
392	152128	157547
393	152660	157309
394	153264	157144
